product_id,product_name,category,cost,price,margin_amount,margin_percentage,margin,unit_margin,margin_rate,inventory_count,created_at,total_orders_count,total_units_sold,total_revenue_generated,total_profit_generated,realized_avg_selling_price
PRD-00064,Broad Spectrum SPF 50 Mineral Sunscreen,Beauty & Personal Care,6.910,24.990,18.08,72.35,18.080,18.080,0.7234893957583033,626,2024-12-01,152,179,4473.210,3236.320,24.99
PRD-00094,Foam Muscle Recovery Roller,Sports & Outdoors,110.000,245.990,135.99,55.28,135.990,135.990,0.5528273507053132,581,2024-12-01,124,149,36652.510,20262.510,245.99
PRD-00023,Waterproof Commuter Jacket,Apparel,14.200,31.990,17.79,55.61,17.790,17.790,0.5561112847764926,462,2024-12-01,143,164,5246.360,2917.560,31.99
PRD-00026,EcoWarm Recycled Fleece,Apparel,41.910,94.990,53.08,55.88,53.080,53.080,0.558795662701337,563,2024-12-01,139,177,16813.230,9395.160,94.99
PRD-00012,UltraCast 4K Streaming Stick,Electronics,207.750,374.490,166.74,44.52,166.740,166.740,0.4452455339261396,362,2024-12-01,147,165,61790.850,27512.100,374.49
PRD-00062,Revitalizing Vitamin C Daily Cleanser,Beauty & Personal Care,27.500,68.490,40.99,59.85,40.990,40.990,0.5984815301503869,563,2024-12-01,143,168,11506.320,6886.320,68.49
PRD-00091,High-Visibility Running Vest with LED,Sports & Outdoors,22.680,42.990,20.31,47.24,20.310,20.310,0.4724354501046755,185,2024-12-01,148,179,7695.210,3635.490,42.99
PRD-00034,Vintage Washed Graphic Hoodie,Apparel,12.790,34.990,22.20,63.45,22.200,22.200,0.634466990568734,697,2024-12-01,171,198,6928.020,4395.600,34.99
PRD-00088,Tactical Folding Multi-Tool Knife,Sports & Outdoors,101.840,211.990,110.15,51.96,110.150,110.150,0.5195999811311854,327,2024-12-01,122,143,30314.570,15751.450,211.99
PRD-00014,FlexArm Dual Monitor Mount,Electronics,200.360,337.990,137.63,40.72,137.630,137.630,0.40720139649102044,171,2024-12-01,157,179,60500.210,24635.770,337.99
PRD-00056,AirTight Food Storage Canister 5-Pack,Home & Kitchen,71.030,135.490,64.46,47.58,64.460,64.460,0.47575466824119866,635,2024-12-01,140,167,22626.830,10764.820,135.49
PRD-00027,Tailored Oxford Dress Shirt,Apparel,34.490,83.990,49.50,58.94,49.500,49.500,0.589355875699488,356,2024-12-01,145,178,14950.220,8811.000,83.99
PRD-00045,ChefSeries 8-inch Chef Knife,Home & Kitchen,36.380,83.490,47.11,56.43,47.110,47.110,0.5642591927176906,271,2024-12-01,151,180,15028.200,8479.800,83.49000000000001
PRD-00099,Electrolyte Hydration Flask 24oz,Sports & Outdoors,27.570,50.990,23.42,45.93,23.420,23.420,0.45930574622474996,155,2024-12-01,132,160,8158.400,3747.200,50.989999999999995
PRD-00084,Ultralight Carbon Trekking Poles,Sports & Outdoors,15.580,31.990,16.41,51.3,16.410,16.410,0.5129728040012503,706,2024-12-01,149,179,5726.210,2937.390,31.99
