user_id,first_seen_at,signup_timestamp,signup_date,cohort_month,signup_cohort_month,country,device_preference,customer_segment,acquisition_channel,first_order_timestamp,first_order_date,most_recent_order_timestamp,last_order_date,most_recent_order_date,lifetime_sessions,lifetime_orders,lifetime_revenue,lifetime_gross_profit,avg_order_value,avg_days_between_orders,recency_days,frequency_band,monetary_tier,customer_lifecycle_status
USR-00027098,2025-01-01 12:20:16,2025-01-01 12:20:16,2025-01-01,2025-01-01 00:00:00,2025-01-01 00:00:00,FR,Mobile,VIP,Organic Search,2025-06-14 13:48:25.873319,2025-06-14,2025-06-15 06:15:06.549001,2025-06-15,2025-06-15,10,2,180.210,103.700,90.105,1.0,449,2-3 Orders,Tier 2: Mid Value,Churned Repeat
USR-00019549,2025-01-03 12:27:40,2025-01-03 12:27:40,2025-01-03,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Desktop,VIP,Paid Search,2025-07-18 06:10:13.95277,2025-07-18,2025-09-13 04:42:26.435405,2025-09-13,2025-09-13,10,2,137.480,85.740,68.74,57.0,359,2-3 Orders,Tier 2: Mid Value,Churned Repeat
USR-00003392,2025-01-06 04:46:28,2025-01-06 04:46:28,2025-01-06,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Mobile,Regular,Organic Search,2025-02-03 14:11:49.808361,2025-02-03,2025-02-03 14:11:49.808361,2025-02-03,2025-02-03,3,1,109.320,61.950,109.32,0.0,581,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00010423,2025-01-07 00:08:54,2025-01-07 00:08:54,2025-01-07,2025-01-01 00:00:00,2025-01-01 00:00:00,FR,Desktop,VIP,Paid Search,2025-07-04 09:47:04.286945,2025-07-04,2025-07-04 09:47:04.286945,2025-07-04,2025-07-04,7,1,80.850,35.240,80.85,0.0,430,1 Order,Tier 1: Low Value,Single Purchaser
USR-00026240,2025-01-08 22:03:14,2025-01-08 22:03:14,2025-01-08,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Mobile,Regular,Referral,2025-12-24 06:11:23.308095,2025-12-24,2025-12-24 06:11:23.308095,2025-12-24,2025-12-24,5,1,477.360,192.970,477.36,0.0,257,1 Order,Tier 3: High Value,Single Purchaser
USR-00026004,2025-01-09 18:12:12,2025-01-09 18:12:12,2025-01-09,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Desktop,VIP,Organic Search,2025-03-05 11:10:04.993501,2025-03-05,2025-07-01 19:56:16.958387,2025-07-01,2025-07-01,7,3,881.780,395.250,293.9266666666667,59.0,433,2-3 Orders,Tier 4: VIP,Churned Repeat
USR-00004916,2025-01-10 01:30:07,2025-01-10 01:30:07,2025-01-10,2025-01-01 00:00:00,2025-01-01 00:00:00,CA,Desktop,Bargain,Organic Search,2025-03-11 13:28:19.324861,2025-03-11,2025-07-11 10:14:40.019351,2025-07-11,2025-07-11,4,2,433.560,159.730,216.78,122.0,423,2-3 Orders,Tier 3: High Value,Churned Repeat
USR-00028161,2025-01-10 10:26:18,2025-01-10 10:26:18,2025-01-10,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Desktop,VIP,Email,2025-01-10 10:30:44.308744,2025-01-10,2025-01-10 10:30:44.308744,2025-01-10,2025-01-10,4,1,85.720,55.240,85.72,0.0,605,1 Order,Tier 1: Low Value,Single Purchaser
USR-00001159,2025-01-10 15:52:14,2025-01-10 15:52:14,2025-01-10,2025-01-01 00:00:00,2025-01-01 00:00:00,UK,Desktop,Regular,Direct,2025-05-05 00:47:37.065878,2025-05-05,2025-05-05 00:47:37.065878,2025-05-05,2025-05-05,3,1,584.520,233.040,584.52,0.0,490,1 Order,Tier 3: High Value,Single Purchaser
USR-00026115,2025-01-10 17:15:30,2025-01-10 17:15:30,2025-01-10,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Desktop,Regular,Social,2025-06-05 00:19:31.98961,2025-06-05,2025-06-20 10:00:34.004465,2025-06-20,2025-06-20,4,2,1049.430,464.980,524.715,15.0,444,2-3 Orders,Tier 4: VIP,Churned Repeat
USR-00002240,2025-01-11 01:58:57,2025-01-11 01:58:57,2025-01-11,2025-01-01 00:00:00,2025-01-01 00:00:00,UK,Mobile,Regular,Email,2025-06-12 01:16:25.661786,2025-06-12,2025-08-11 11:35:11.744612,2025-08-11,2025-08-11,6,2,166.140,97.130,83.07,60.0,392,2-3 Orders,Tier 2: Mid Value,Churned Repeat
USR-00012418,2025-01-11 03:21:53,2025-01-11 03:21:53,2025-01-11,2025-01-01 00:00:00,2025-01-01 00:00:00,UK,Desktop,VIP,Email,2025-04-21 14:58:19.220183,2025-04-21,2025-10-02 17:49:41.509489,2025-10-02,2025-10-02,6,2,363.500,176.270,181.75,164.0,340,2-3 Orders,Tier 3: High Value,Churned Repeat
USR-00014656,2025-01-11 03:49:52,2025-01-11 03:49:52,2025-01-11,2025-01-01 00:00:00,2025-01-01 00:00:00,UK,Mobile,Regular,Organic Search,2025-03-25 00:52:43.036091,2025-03-25,2025-03-25 00:52:43.036091,2025-03-25,2025-03-25,5,1,63.350,31.050,63.35,0.0,531,1 Order,Tier 1: Low Value,Single Purchaser
USR-00000079,2025-01-11 08:54:59,2025-01-11 08:54:59,2025-01-11,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Tablet,Regular,Organic Search,2025-01-15 05:48:16.15155,2025-01-15,2025-01-15 05:48:16.15155,2025-01-15,2025-01-15,4,1,83.880,41.260,83.88,0.0,600,1 Order,Tier 1: Low Value,Single Purchaser
USR-00006191,2025-01-12 05:45:59,2025-01-12 05:45:59,2025-01-12,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Mobile,VIP,Direct,2025-09-16 08:05:22.289169,2025-09-16,2025-09-16 08:05:22.289169,2025-09-16,2025-09-16,3,1,194.350,86.400,194.35,0.0,356,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00011535,2025-01-13 06:18:39,2025-01-13 06:18:39,2025-01-13,2025-01-01 00:00:00,2025-01-01 00:00:00,CA,Mobile,Regular,Direct,2025-05-16 18:26:14.786892,2025-05-16,2025-05-16 18:26:14.786892,2025-05-16,2025-05-16,4,1,454.630,198.110,454.63,0.0,479,1 Order,Tier 3: High Value,Single Purchaser
USR-00006665,2025-01-13 11:08:02,2025-01-13 11:08:02,2025-01-13,2025-01-01 00:00:00,2025-01-01 00:00:00,UK,Mobile,VIP,Social,2025-01-22 18:59:26.794509,2025-01-22,2025-10-28 12:38:19.737571,2025-10-28,2025-10-28,11,4,1105.830,568.800,276.4575,93.0,314,4+ Orders,Tier 4: VIP,Churned Repeat
USR-00015151,2025-01-14 22:24:35,2025-01-14 22:24:35,2025-01-14,2025-01-01 00:00:00,2025-01-01 00:00:00,UK,Mobile,VIP,Email,2025-02-20 18:09:00.909305,2025-02-20,2025-03-01 12:03:12.329996,2025-03-01,2025-03-01,6,2,530.950,260.470,265.475,9.0,555,2-3 Orders,Tier 3: High Value,Churned Repeat
USR-00027768,2025-01-14 23:48:38,2025-01-14 23:48:38,2025-01-14,2025-01-01 00:00:00,2025-01-01 00:00:00,UK,Desktop,Regular,Direct,2025-05-26 19:54:39.298008,2025-05-26,2025-05-26 19:54:39.298008,2025-05-26,2025-05-26,3,1,733.890,369.450,733.89,0.0,469,1 Order,Tier 3: High Value,Single Purchaser
USR-00014532,2025-01-16 16:11:11,2025-01-16 16:11:11,2025-01-16,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Desktop,Regular,Paid Search,2025-01-24 21:12:35.985008,2025-01-24,2025-01-24 21:12:35.985008,2025-01-24,2025-01-24,3,1,152.620,68.050,152.62,0.0,591,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00000744,2025-01-17 09:58:56,2025-01-17 09:58:56,2025-01-17,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Mobile,VIP,Social,2025-02-18 18:55:46.198817,2025-02-18,2025-02-18 18:55:46.198817,2025-02-18,2025-02-18,6,1,38.620,17.660,38.62,0.0,566,1 Order,Tier 1: Low Value,Single Purchaser
USR-00000140,2025-01-17 13:07:46,2025-01-17 13:07:46,2025-01-17,2025-01-01 00:00:00,2025-01-01 00:00:00,UK,Desktop,VIP,Organic Search,2025-07-28 18:13:49.567504,2025-07-28,2025-09-20 23:08:29.901376,2025-09-20,2025-09-20,8,4,533.950,304.320,133.4875,18.0,352,4+ Orders,Tier 3: High Value,Churned Repeat
USR-00020423,2025-01-18 16:45:47,2025-01-18 16:45:47,2025-01-18,2025-01-01 00:00:00,2025-01-01 00:00:00,UK,Mobile,VIP,Referral,2025-05-26 16:33:36.050837,2025-05-26,2025-07-14 21:37:14.210513,2025-07-14,2025-07-14,6,3,802.230,394.330,267.41,24.5,420,2-3 Orders,Tier 4: VIP,Churned Repeat
USR-00016708,2025-01-18 23:26:22,2025-01-18 23:26:22,2025-01-18,2025-01-01 00:00:00,2025-01-01 00:00:00,DE,Desktop,VIP,Direct,2025-04-25 03:34:01.077106,2025-04-25,2025-04-25 03:34:01.077106,2025-04-25,2025-04-25,3,1,239.640,116.920,239.64,0.0,500,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00002822,2025-01-20 15:04:32,2025-01-20 15:04:32,2025-01-20,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Mobile,VIP,Direct,2025-08-24 21:09:56.21764,2025-08-24,2025-12-09 23:25:55.630823,2025-12-09,2025-12-09,10,2,215.910,112.530,107.955,107.0,272,2-3 Orders,Tier 2: Mid Value,Churned Repeat
USR-00016614,2025-01-22 10:59:05,2025-01-22 10:59:05,2025-01-22,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Tablet,Regular,Organic Search,2025-02-22 01:01:25.17039,2025-02-22,2025-02-22 01:01:25.17039,2025-02-22,2025-02-22,3,1,216.490,83.420,216.49,0.0,562,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00004596,2025-01-22 12:45:05,2025-01-22 12:45:05,2025-01-22,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Desktop,VIP,Email,2025-07-15 10:15:44.027278,2025-07-15,2025-08-15 20:44:43.538151,2025-08-15,2025-08-15,7,2,528.500,293.260,264.25,31.0,388,2-3 Orders,Tier 3: High Value,Churned Repeat
USR-00002850,2025-01-22 20:29:33,2025-01-22 20:29:33,2025-01-22,2025-01-01 00:00:00,2025-01-01 00:00:00,CA,Desktop,Regular,Direct,2025-09-02 02:58:04.849336,2025-09-02,2025-09-02 02:58:04.849336,2025-09-02,2025-09-02,2,1,369.110,151.470,369.11,0.0,370,1 Order,Tier 3: High Value,Single Purchaser
USR-00002359,2025-01-23 09:36:43,2025-01-23 09:36:43,2025-01-23,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Desktop,VIP,Organic Search,2025-05-13 02:57:16.942397,2025-05-13,2025-05-27 21:58:05.462557,2025-05-27,2025-05-27,8,3,346.110,170.110,115.37,7.0,468,2-3 Orders,Tier 3: High Value,Churned Repeat
USR-00004623,2025-01-23 11:01:02,2025-01-23 11:01:02,2025-01-23,2025-01-01 00:00:00,2025-01-01 00:00:00,DE,Mobile,Regular,Paid Search,2025-11-28 07:13:50.722855,2025-11-28,2025-11-28 07:13:50.722855,2025-11-28,2025-11-28,6,1,33.040,18.080,33.04,0.0,283,1 Order,Tier 1: Low Value,Single Purchaser
USR-00029769,2025-01-23 17:05:24,2025-01-23 17:05:24,2025-01-23,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Mobile,VIP,Organic Search,2025-02-18 02:24:33.924344,2025-02-18,2025-07-09 00:16:40.897221,2025-07-09,2025-07-09,10,3,444.350,257.110,148.11666666666667,70.5,425,2-3 Orders,Tier 3: High Value,Churned Repeat
USR-00022486,2025-01-26 08:34:07,2025-01-26 08:34:07,2025-01-26,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Mobile,VIP,Organic Search,2025-04-02 06:20:28.156146,2025-04-02,2025-09-18 19:16:19.248046,2025-09-18,2025-09-18,9,3,625.550,326.610,208.51666666666665,84.5,354,2-3 Orders,Tier 3: High Value,Churned Repeat
USR-00012702,2025-01-26 12:09:47,2025-01-26 12:09:47,2025-01-26,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Mobile,Regular,Referral,2025-04-10 08:22:36.728918,2025-04-10,2025-04-10 08:22:36.728918,2025-04-10,2025-04-10,4,1,90.920,49.500,90.92,0.0,515,1 Order,Tier 1: Low Value,Single Purchaser
USR-00027302,2025-01-27 14:13:23,2025-01-27 14:13:23,2025-01-27,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Desktop,VIP,Organic Search,2025-09-23 09:00:00.298238,2025-09-23,2025-09-23 09:00:00.298238,2025-09-23,2025-09-23,8,1,112.030,68.690,112.03,0.0,349,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00014657,2025-01-27 14:41:26,2025-01-27 14:41:26,2025-01-27,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Tablet,Regular,Social,2025-03-22 21:06:25.22676,2025-03-22,2025-03-22 21:06:25.22676,2025-03-22,2025-03-22,2,1,63.350,31.050,63.35,0.0,534,1 Order,Tier 1: Low Value,Single Purchaser
USR-00029023,2025-01-28 04:48:42,2025-01-28 04:48:42,2025-01-28,2025-01-01 00:00:00,2025-01-01 00:00:00,US,Desktop,Regular,Organic Search,2025-06-13 10:41:21.367067,2025-06-13,2025-06-13 10:41:21.367067,2025-06-13,2025-06-13,3,1,121.860,69.780,121.86,0.0,451,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00012933,2025-01-30 00:04:34,2025-01-30 00:04:34,2025-01-30,2025-01-01 00:00:00,2025-01-01 00:00:00,UK,Desktop,Regular,Organic Search,2025-03-13 15:41:56.175043,2025-03-13,2025-08-29 03:28:53.363723,2025-08-29,2025-08-29,3,2,513.790,223.750,256.895,169.0,374,2-3 Orders,Tier 3: High Value,Churned Repeat
USR-00029949,2025-01-31 17:33:37,2025-01-31 17:33:37,2025-01-31,2025-01-01 00:00:00,2025-01-01 00:00:00,UK,Desktop,Regular,Organic Search,2025-06-01 22:50:21.228706,2025-06-01,2025-06-01 22:50:21.228706,2025-06-01,2025-06-01,3,1,102.830,42.480,102.83,0.0,463,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00029015,2025-02-01 19:26:45,2025-02-01 19:26:45,2025-02-01,2025-02-01 00:00:00,2025-02-01 00:00:00,UK,Desktop,Regular,Email,2025-02-01 19:39:49.182912,2025-02-01,2025-02-01 19:39:49.182912,2025-02-01,2025-02-01,3,1,181.840,99.000,181.84,0.0,583,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00026980,2025-02-02 15:56:12,2025-02-02 15:56:12,2025-02-02,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Mobile,VIP,Organic Search,2025-08-19 16:52:17.380443,2025-08-19,2025-08-19 16:52:17.380443,2025-08-19,2025-08-19,9,1,200.680,82.640,200.68,0.0,384,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00023196,2025-02-04 23:39:59,2025-02-04 23:39:59,2025-02-04,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Desktop,Regular,Organic Search,2025-06-12 08:54:02.768741,2025-06-12,2025-06-28 12:23:30.7724,2025-06-28,2025-06-28,5,2,242.130,138.420,121.065,16.0,436,2-3 Orders,Tier 2: Mid Value,Churned Repeat
USR-00009670,2025-02-05 02:19:10,2025-02-05 02:19:10,2025-02-05,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Desktop,Regular,Organic Search,2025-05-18 12:30:43.343758,2025-05-18,2025-05-18 12:30:43.343758,2025-05-18,2025-05-18,4,1,114.720,62.100,114.72,0.0,477,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00016729,2025-02-05 02:41:27,2025-02-05 02:41:27,2025-02-05,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Mobile,Regular,Organic Search,2025-04-08 12:14:22.719699,2025-04-08,2025-04-08 12:14:22.719699,2025-04-08,2025-04-08,5,1,87.160,49.760,87.16,0.0,517,1 Order,Tier 1: Low Value,Single Purchaser
USR-00015644,2025-02-06 09:56:46,2025-02-06 09:56:46,2025-02-06,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Mobile,Regular,Organic Search,2025-04-27 15:42:09.685627,2025-04-27,2025-04-27 15:42:09.685627,2025-04-27,2025-04-27,5,1,220.820,90.110,220.82,0.0,498,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00025742,2025-02-06 17:02:43,2025-02-06 17:02:43,2025-02-06,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Mobile,VIP,Organic Search,2025-05-14 11:37:32.041779,2025-05-14,2025-05-14 11:37:32.041779,2025-05-14,2025-05-14,6,1,72.720,40.990,72.72,0.0,481,1 Order,Tier 1: Low Value,Single Purchaser
USR-00003670,2025-02-06 21:30:48,2025-02-06 21:30:48,2025-02-06,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Mobile,Regular,Direct,2025-07-30 10:50:02.454065,2025-07-30,2025-07-30 10:50:02.454065,2025-07-30,2025-07-30,4,1,124.480,68.690,124.48,0.0,404,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00026580,2025-02-08 19:01:52,2025-02-08 19:01:52,2025-02-08,2025-02-01 00:00:00,2025-02-01 00:00:00,FR,Mobile,Regular,Email,2025-09-03 07:51:25.954273,2025-09-03,2025-09-03 07:51:25.954273,2025-09-03,2025-09-03,2,1,298.760,99.830,298.76,0.0,369,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00008957,2025-02-09 09:21:35,2025-02-09 09:21:35,2025-02-09,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Mobile,Regular,Social,2025-07-25 03:06:56.086896,2025-07-25,2025-07-25 03:06:56.086896,2025-07-25,2025-07-25,4,1,620.250,250.150,620.25,0.0,409,1 Order,Tier 3: High Value,Single Purchaser
USR-00008300,2025-02-09 17:59:59,2025-02-09 17:59:59,2025-02-09,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Mobile,Regular,Paid Search,2025-12-29 14:48:17.917886,2025-12-29,2025-12-29 14:48:17.917886,2025-12-29,2025-12-29,2,1,175.880,99.640,175.88,0.0,252,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00003062,2025-02-10 18:04:20,2025-02-10 18:04:20,2025-02-10,2025-02-01 00:00:00,2025-02-01 00:00:00,UK,Desktop,VIP,Direct,2025-02-25 22:30:44.776211,2025-02-25,2025-09-19 06:56:12.872255,2025-09-19,2025-09-19,9,6,2102.310,1057.830,350.385,41.2,353,4+ Orders,Tier 4: VIP,Churned Repeat
USR-00002454,2025-02-11 01:30:31,2025-02-11 01:30:31,2025-02-11,2025-02-01 00:00:00,2025-02-01 00:00:00,FR,Desktop,Regular,Organic Search,2025-04-16 13:10:00.05727,2025-04-16,2025-04-16 13:10:00.05727,2025-04-16,2025-04-16,3,1,50.360,22.730,50.36,0.0,509,1 Order,Tier 1: Low Value,Single Purchaser
USR-00006022,2025-02-13 06:13:38,2025-02-13 06:13:38,2025-02-13,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Mobile,Regular,Direct,2025-11-06 04:09:19.936734,2025-11-06,2025-11-06 04:09:19.936734,2025-11-06,2025-11-06,3,1,97.400,56.240,97.4,0.0,305,1 Order,Tier 1: Low Value,Single Purchaser
USR-00028957,2025-02-14 02:18:24,2025-02-14 02:18:24,2025-02-14,2025-02-01 00:00:00,2025-02-01 00:00:00,UK,Mobile,Regular,Organic Search,2025-02-14 02:30:13.447498,2025-02-14,2025-10-02 18:16:05.55527,2025-10-02,2025-10-02,4,2,490.390,203.500,245.195,230.0,340,2-3 Orders,Tier 3: High Value,Churned Repeat
USR-00003314,2025-02-14 18:38:32,2025-02-14 18:38:32,2025-02-14,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Tablet,VIP,Paid Search,2025-02-23 13:24:50.765125,2025-02-23,2025-02-23 13:24:50.765125,2025-02-23,2025-02-23,5,1,364.850,166.740,364.85,0.0,561,1 Order,Tier 3: High Value,Single Purchaser
USR-00023254,2025-02-16 04:31:29,2025-02-16 04:31:29,2025-02-16,2025-02-01 00:00:00,2025-02-01 00:00:00,UK,Desktop,VIP,Organic Search,2025-02-18 16:11:48.010816,2025-02-18,2025-07-07 01:28:24.547884,2025-07-07,2025-07-07,10,3,867.990,434.350,289.33,69.5,427,2-3 Orders,Tier 4: VIP,Churned Repeat
USR-00024871,2025-02-17 00:07:21,2025-02-17 00:07:21,2025-02-17,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Desktop,VIP,Direct,2025-04-07 00:20:00.223058,2025-04-07,2025-07-09 16:44:39.552016,2025-07-09,2025-07-09,5,2,231.500,114.150,115.75,93.0,425,2-3 Orders,Tier 2: Mid Value,Churned Repeat
USR-00006530,2025-02-17 07:48:51,2025-02-17 07:48:51,2025-02-17,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Desktop,VIP,Direct,2025-03-22 21:48:50.344297,2025-03-22,2025-10-05 23:32:40.956048,2025-10-05,2025-10-05,8,2,398.910,217.790,199.455,197.0,337,2-3 Orders,Tier 3: High Value,Churned Repeat
USR-00010545,2025-02-18 05:36:32,2025-02-18 05:36:32,2025-02-18,2025-02-01 00:00:00,2025-02-01 00:00:00,UK,Desktop,VIP,Paid Search,2025-06-30 16:31:55.689109,2025-06-30,2025-12-03 04:36:58.462294,2025-12-03,2025-12-03,5,2,282.460,168.610,141.23,156.0,278,2-3 Orders,Tier 2: Mid Value,Churned Repeat
USR-00001928,2025-02-18 09:05:17,2025-02-18 09:05:17,2025-02-18,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Desktop,VIP,Paid Search,2025-06-16 21:37:44.142833,2025-06-16,2025-06-16 21:37:44.142833,2025-06-16,2025-06-16,8,1,30.340,18.080,30.34,0.0,448,1 Order,Tier 1: Low Value,Single Purchaser
USR-00003845,2025-02-19 21:20:18,2025-02-19 21:20:18,2025-02-19,2025-02-01 00:00:00,2025-02-01 00:00:00,FR,Mobile,Regular,Direct,2025-07-18 22:59:04.041829,2025-07-18,2025-07-18 22:59:04.041829,2025-07-18,2025-07-18,3,1,393.470,169.980,393.47,0.0,416,1 Order,Tier 3: High Value,Single Purchaser
USR-00000887,2025-02-23 00:13:00,2025-02-23 00:13:00,2025-02-23,2025-02-01 00:00:00,2025-02-01 00:00:00,DE,Desktop,Regular,Social,2025-10-14 06:27:17.066806,2025-10-14,2025-10-14 06:27:17.066806,2025-10-14,2025-10-14,3,1,289.540,129.700,289.54,0.0,328,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00001885,2025-02-23 04:38:10,2025-02-23 04:38:10,2025-02-23,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Tablet,Regular,Organic Search,2025-02-23 04:46:05.87852,2025-02-23,2025-02-23 04:46:05.87852,2025-02-23,2025-02-23,2,1,210.520,106.940,210.52,0.0,561,1 Order,Tier 2: Mid Value,Single Purchaser
