session_id,user_id,session_start,session_end,session_date,session_duration_seconds,device_type,traffic_source,country,customer_segment,ab_variant,is_returning_user,has_landing_page,has_product_view,has_add_to_cart,has_checkout_started,has_payment_started,has_purchase,reached_landing_page,reached_product_view,reached_add_to_cart,reached_checkout_started,reached_payment_started,reached_purchase,furthest_step_reached,funnel_stage_order,funnel_stage_reached,total_events_count,order_id,order_revenue,is_converting_session
SES-000056735,USR-00011744,2025-09-28 05:24:14,2025-09-28 05:29:01.725089,2025-09-28,287,Tablet,Email,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00004796,77.100,1
SES-000056809,USR-00025163,2025-09-28 10:09:55,2025-09-28 10:14:20.441566,2025-09-28,265,Mobile,Direct,UK,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00004803,46.900,1
SES-000056880,USR-00027835,2025-09-28 13:47:39,2025-09-28 13:51:02.953754,2025-09-28,203,Desktop,Direct,UK,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00004811,199.710,1
SES-000056998,USR-00023832,2025-09-28 21:42:28,2025-09-28 21:47:18.307439,2025-09-28,290,Tablet,Organic Search,US,Bargain,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00004826,395.070,1
SES-000057367,USR-00024733,2025-09-29 19:11:25,2025-09-29 19:13:21.52477,2025-09-29,116,Desktop,Direct,US,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00004874,99.350,1
SES-000057620,USR-00002897,2025-09-30 09:44:07,2025-09-30 09:48:29.329322,2025-09-30,262,Desktop,Direct,US,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00004893,482.230,1
SES-000057746,USR-00006208,2025-09-30 17:31:20,2025-09-30 17:35:58.020654,2025-09-30,278,Desktop,Direct,US,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00004907,684.100,1
SES-000058212,USR-00017862,2025-10-01 23:18:04,2025-10-01 23:21:06.054616,2025-10-01,182,Tablet,Referral,US,Bargain,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00004951,352.880,1
SES-000058254,USR-00023901,2025-10-02 01:57:30,2025-10-02 02:00:28.93174,2025-10-02,178,Mobile,Organic Search,US,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00004956,208.360,1
SES-000058506,USR-00015748,2025-10-02 15:40:20,2025-10-02 15:43:27.893214,2025-10-02,187,Mobile,Direct,UK,Bargain,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00004980,165.610,1
SES-000059061,USR-00023634,2025-10-03 23:08:30,2025-10-03 23:10:20.43397,2025-10-03,110,Mobile,Direct,US,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005043,77.100,1
SES-000059237,USR-00026531,2025-10-04 09:45:44,2025-10-04 09:49:07.059092,2025-10-04,203,Tablet,Email,AU,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005062,400.500,1
SES-000059287,USR-00003481,2025-10-04 12:31:04,2025-10-04 12:37:16.908014,2025-10-04,372,Desktop,Direct,UK,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005070,126.630,1
SES-000059811,USR-00022941,2025-10-05 19:41:30,2025-10-05 19:45:00.327857,2025-10-05,210,Desktop,Direct,CA,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005126,173.870,1
SES-000060122,USR-00005709,2025-10-06 15:13:47,2025-10-06 15:16:27.21199,2025-10-06,160,Desktop,Email,US,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005162,195.920,1
SES-000060184,USR-00017979,2025-10-06 19:12:14,2025-10-06 19:16:08.838459,2025-10-06,234,Mobile,Direct,US,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005171,149.370,1
SES-000060287,USR-00001397,2025-10-07 01:53:29,2025-10-07 01:57:20.82302,2025-10-07,231,Desktop,Email,US,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005178,103.260,1
SES-000060387,USR-00007981,2025-10-07 07:38:16,2025-10-07 07:41:16.542826,2025-10-07,180,Desktop,Email,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005187,460.310,1
SES-000060941,USR-00023458,2025-10-08 17:31:15,2025-10-08 17:33:58.053625,2025-10-08,163,Desktop,Email,CA,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005254,469.230,1
SES-000061007,USR-00023433,2025-10-08 21:35:46,2025-10-08 21:39:56.339114,2025-10-08,250,Mobile,Direct,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005265,81.340,1
