order_id,session_id,user_id,order_timestamp,order_date,status,subtotal,subtotal_amount,shipping_fee,shipping_amount,tax_amount,discount_amount,total_amount,payment_method,ab_variant,item_count,total_items_count,distinct_products_count,total_cost,total_cogs,gross_margin_amount,gross_profit,margin_rate,primary_product_category,user_order_sequence,is_first_order,is_repeat_order,days_since_prior_order,days_since_user_signup,device_type,traffic_source,country,customer_segment
ORD-00000060,SES-000002080,USR-00022905,2025-01-21 18:09:38.224425,2025-01-21,completed,137.990,137.990,0.000,0.000,11.380,0.000,149.370,Credit Card,control,1,1,1,68.350,68.350,69.640,69.640,0.5046742517573737,Home & Kitchen,1,true,false,,0,Tablet,Direct,US,Regular
ORD-00000061,SES-000002085,USR-00021949,2025-01-21 18:51:35.41441,2025-01-21,completed,167.490,167.490,0.000,0.000,12.440,16.750,163.180,Klarna,treatment,1,1,1,87.540,87.540,79.950,79.950,0.477341930861544,Sports & Outdoors,1,true,false,,6,Desktop,Organic Search,DE,VIP
ORD-00000062,SES-000002089,USR-00024909,2025-01-21 19:55:45.855044,2025-01-21,completed,105.990,105.990,0.000,0.000,7.870,10.600,103.260,Credit Card,control,1,1,1,56.370,56.370,49.620,49.620,0.4681573733371073,Sports & Outdoors,1,true,false,,0,Mobile,Direct,US,VIP
ORD-00000063,SES-000002186,USR-00006665,2025-01-22 18:59:26.794509,2025-01-22,completed,698.970,698.970,0.000,0.000,51.900,69.900,680.970,Credit Card,control,3,3,1,341.580,341.580,357.390,357.390,0.5113094982617279,Sports & Outdoors,1,true,false,,9,Mobile,Direct,UK,VIP
ORD-00000064,SES-000002236,USR-00020843,2025-01-23 07:22:05.837087,2025-01-23,completed,42.490,42.490,5.990,5.990,3.150,4.250,47.380,PayPal,control,1,1,1,17.540,17.540,24.950,24.950,0.5871969875264768,Apparel,1,true,false,,0,Desktop,Email,CA,VIP
ORD-00000065,SES-000002247,USR-00017988,2025-01-23 09:20:27.548759,2025-01-23,completed,337.990,337.990,0.000,0.000,27.880,0.000,365.870,Credit Card,treatment,1,1,1,200.360,200.360,137.630,137.630,0.40720139649102044,Electronics,1,true,false,,0,Desktop,Direct,US,Regular
ORD-00000066,SES-000002275,USR-00012366,2025-01-23 15:17:09.606653,2025-01-23,completed,77.990,77.990,0.000,0.000,6.430,0.000,84.420,Credit Card,control,1,1,1,39.190,39.190,38.800,38.800,0.4974996794460828,Sports & Outdoors,1,true,false,,0,Desktop,Email,US,Bargain
ORD-00000067,SES-000002302,USR-00024111,2025-01-23 21:49:21.384579,2025-01-23,completed,160.480,160.480,0.000,0.000,13.240,0.000,173.720,Credit Card,treatment,2,2,2,77.940,77.940,82.540,82.540,0.5143320039880359,Home & Kitchen,1,true,false,,19,Tablet,Direct,CA,Regular
ORD-00000068,SES-000002321,USR-00012569,2025-01-24 01:35:20.048728,2025-01-24,completed,42.990,42.990,5.990,5.990,3.550,0.000,52.530,Credit Card,control,1,1,1,22.680,22.680,20.310,20.310,0.47243545010467547,Sports & Outdoors,1,true,false,,0,Desktop,Direct,DE,Regular
ORD-00000069,SES-000002345,USR-00000558,2025-01-24 09:16:01.124959,2025-01-24,completed,42.490,42.490,5.990,5.990,3.150,4.250,47.380,PayPal,control,1,1,1,17.540,17.540,24.950,24.950,0.5871969875264768,Apparel,1,true,false,,6,Mobile,Direct,US,VIP
ORD-00000070,SES-000002375,USR-00017173,2025-01-24 16:05:42.894308,2025-01-24,completed,81.980,81.980,0.000,0.000,6.760,0.000,88.740,Credit Card,treatment,2,2,2,26.090,26.090,55.890,55.890,0.6817516467431081,Beauty & Personal Care,1,true,false,,22,Tablet,Email,UK,Regular
ORD-00000071,SES-000002387,USR-00000506,2025-01-24 18:21:06.995958,2025-01-24,completed,167.980,167.980,0.000,0.000,13.860,0.000,181.840,Credit Card,treatment,2,2,1,68.980,68.980,99.000,99.000,0.5893558756994881,Apparel,1,true,false,,0,Desktop,Organic Search,AU,Regular
ORD-00000072,SES-000002397,USR-00014532,2025-01-24 21:12:35.985008,2025-01-24,completed,140.990,140.990,0.000,0.000,11.630,0.000,152.620,PayPal,treatment,1,1,1,72.940,72.940,68.050,68.050,0.48265834456344414,Sports & Outdoors,1,true,false,,8,Desktop,Email,US,Regular
ORD-00000073,SES-000002401,USR-00001292,2025-01-24 21:56:37.001432,2025-01-24,completed,178.480,178.480,0.000,0.000,13.250,17.850,173.880,Klarna,treatment,2,2,2,88.890,88.890,89.590,89.590,0.5019610040340655,Home & Kitchen,2,false,true,4,4,Desktop,Paid Search,UK,VIP
ORD-00000074,SES-000002421,USR-00019129,2025-01-25 02:22:15.597773,2025-01-25,completed,31.990,31.990,5.990,5.990,2.640,0.000,40.620,Credit Card,control,1,1,1,14.200,14.200,17.790,17.790,0.5561112847764926,Apparel,1,true,false,,0,Mobile,Direct,UK,Regular
ORD-00000075,SES-000002424,USR-00020730,2025-01-25 03:21:34.000837,2025-01-25,completed,404.480,404.480,0.000,0.000,33.370,0.000,437.850,Credit Card,treatment,2,2,2,196.460,196.460,208.020,208.020,0.5142899525316456,Sports & Outdoors,1,true,false,,13,Desktop,Email,US,Regular
ORD-00000076,SES-000002436,USR-00023878,2025-01-25 05:32:04.913492,2025-01-25,completed,67.990,67.990,5.990,5.990,5.050,6.800,72.230,Credit Card,treatment,1,1,1,29.210,29.210,38.780,38.780,0.5703779967642301,Apparel,1,true,false,,20,Desktop,Organic Search,CA,VIP
ORD-00000077,SES-000002475,USR-00010777,2025-01-25 16:15:28.25315,2025-01-25,completed,143.990,143.990,0.000,0.000,10.690,14.400,140.280,Credit Card,control,1,1,1,66.170,66.170,77.820,77.820,0.5404541982082088,Sports & Outdoors,1,true,false,,9,Desktop,Email,CA,VIP
