user_id,cohort_month,activity_month,month_number,month_offset,customer_segment,country,acquisition_channel,signup_cohort_month,monthly_orders,orders_in_month,monthly_revenue,revenue_in_month,monthly_gross_profit,is_retained,is_active,cumulative_orders,cumulative_revenue,cumulative_gross_profit
USR-00000149,2025-05-01 00:00:00,2025-05-01 00:00:00,0,0,VIP,US,Paid Search,2025-03-01 00:00:00,1,1,262.530,262.530,152.790,1,1,1,262.530,152.790
USR-00000149,2025-05-01 00:00:00,2025-06-01 00:00:00,1,1,VIP,US,Paid Search,2025-03-01 00:00:00,1,1,188.010,188.010,107.490,1,1,2,450.540,260.280
USR-00000184,2025-08-01 00:00:00,2025-08-01 00:00:00,0,0,VIP,UK,Organic Search,2025-06-01 00:00:00,1,1,508.540,508.540,219.330,1,1,1,508.540,219.330
USR-00000198,2025-07-01 00:00:00,2025-07-01 00:00:00,0,0,Regular,US,Social,2025-05-01 00:00:00,1,1,109.320,109.320,61.950,1,1,1,109.320,61.950
USR-00000198,2025-07-01 00:00:00,2025-09-01 00:00:00,2,2,Regular,US,Social,2025-05-01 00:00:00,1,1,54.690,54.690,28.580,1,1,2,164.010,90.530
USR-00000259,2025-12-01 00:00:00,2025-12-01 00:00:00,0,0,Regular,UK,Paid Search,2025-04-01 00:00:00,1,1,62.270,62.270,37.390,1,1,1,62.270,37.390
USR-00000316,2025-09-01 00:00:00,2025-09-01 00:00:00,0,0,VIP,US,Direct,2025-09-01 00:00:00,1,1,28.390,28.390,14.720,1,1,1,28.390,14.720
USR-00000316,2025-09-01 00:00:00,2025-10-01 00:00:00,1,1,VIP,US,Direct,2025-09-01 00:00:00,1,1,98.390,98.390,61.950,1,1,2,126.780,76.670
USR-00000316,2025-09-01 00:00:00,2025-12-01 00:00:00,3,3,VIP,US,Direct,2025-09-01 00:00:00,1,1,876.780,876.780,423.810,1,1,3,1003.560,500.480
USR-00000321,2025-12-01 00:00:00,2025-12-01 00:00:00,0,0,Regular,US,Social,2025-04-01 00:00:00,1,1,36.290,36.290,16.480,1,1,1,36.290,16.480
USR-00000379,2025-11-01 00:00:00,2025-11-01 00:00:00,0,0,Regular,US,Paid Search,2025-11-01 00:00:00,1,1,277.100,277.100,132.760,1,1,1,277.100,132.760
USR-00000379,2025-11-01 00:00:00,2025-12-01 00:00:00,1,1,Regular,US,Paid Search,2025-11-01 00:00:00,1,1,531.490,531.490,213.100,1,1,2,808.590,345.860
USR-00000501,2025-11-01 00:00:00,2025-11-01 00:00:00,0,0,Regular,US,Paid Search,2025-11-01 00:00:00,1,1,450.300,450.300,175.840,1,1,1,450.300,175.840
USR-00000582,2025-06-01 00:00:00,2025-06-01 00:00:00,0,0,VIP,US,Organic Search,2025-03-01 00:00:00,3,3,385.910,385.910,184.370,1,1,3,385.910,184.370
USR-00000607,2025-12-01 00:00:00,2025-12-01 00:00:00,0,0,VIP,US,Email,2025-04-01 00:00:00,2,2,403.310,403.310,226.390,1,1,2,403.310,226.390
USR-00000703,2025-06-01 00:00:00,2025-06-01 00:00:00,0,0,VIP,UK,Email,2025-06-01 00:00:00,1,1,206.520,206.520,99.240,1,1,1,206.520,99.240
USR-00000775,2025-08-01 00:00:00,2025-08-01 00:00:00,0,0,Regular,US,Social,2025-02-01 00:00:00,1,1,356.120,356.120,178.230,1,1,1,356.120,178.230
USR-00000796,2025-07-01 00:00:00,2025-07-01 00:00:00,0,0,Regular,DE,Paid Search,2025-07-01 00:00:00,1,1,122.850,122.850,60.960,1,1,1,122.850,60.960
USR-00000814,2025-04-01 00:00:00,2025-04-01 00:00:00,0,0,VIP,US,Direct,2025-03-01 00:00:00,1,1,226.990,226.990,119.130,1,1,1,226.990,119.130
USR-00000834,2025-06-01 00:00:00,2025-06-01 00:00:00,0,0,Regular,UK,Organic Search,2025-01-01 00:00:00,1,1,83.880,83.880,41.260,1,1,1,83.880,41.260
USR-00000843,2025-10-01 00:00:00,2025-10-01 00:00:00,0,0,VIP,CA,Direct,2025-10-01 00:00:00,1,1,171.940,171.940,91.740,1,1,1,171.940,91.740
USR-00000843,2025-10-01 00:00:00,2025-11-01 00:00:00,1,1,VIP,CA,Direct,2025-10-01 00:00:00,1,1,74.010,74.010,54.920,1,1,2,245.950,146.660
USR-00000857,2025-05-01 00:00:00,2025-05-01 00:00:00,0,0,Regular,US,Direct,2025-05-01 00:00:00,1,1,38.890,38.890,16.410,1,1,1,38.890,16.410
USR-00000880,2025-11-01 00:00:00,2025-11-01 00:00:00,0,0,Regular,CA,Email,2025-10-01 00:00:00,1,1,33.040,33.040,19.150,1,1,1,33.040,19.150
USR-00000929,2025-10-01 00:00:00,2025-10-01 00:00:00,0,0,Bargain,US,Organic Search,2025-07-01 00:00:00,1,1,462.210,462.210,232.170,1,1,1,462.210,232.170
USR-00001082,2025-12-01 00:00:00,2025-12-01 00:00:00,0,0,Regular,US,Paid Search,2025-10-01 00:00:00,1,1,441.640,441.640,180.220,1,1,1,441.640,180.220
USR-00001119,2025-09-01 00:00:00,2025-09-01 00:00:00,0,0,Bargain,US,Paid Search,2025-07-01 00:00:00,1,1,24.380,24.380,10.790,1,1,1,24.380,10.790
USR-00001152,2025-10-01 00:00:00,2025-10-01 00:00:00,0,0,VIP,US,Direct,2025-04-01 00:00:00,1,1,85.720,85.720,55.240,1,1,1,85.720,55.240
USR-00001261,2025-11-01 00:00:00,2025-11-01 00:00:00,0,0,Regular,US,Social,2025-09-01 00:00:00,1,1,140.700,140.700,79.840,1,1,1,140.700,79.840
USR-00001261,2025-11-01 00:00:00,2025-12-01 00:00:00,1,1,Regular,US,Social,2025-09-01 00:00:00,1,1,195.920,195.920,96.180,1,1,2,336.620,176.020
USR-00001293,2025-06-01 00:00:00,2025-06-01 00:00:00,0,0,VIP,UK,Social,2025-05-01 00:00:00,1,1,388.700,388.700,172.800,1,1,1,388.700,172.800
USR-00001293,2025-06-01 00:00:00,2025-09-01 00:00:00,3,3,VIP,UK,Social,2025-05-01 00:00:00,1,1,175.810,175.810,114.690,1,1,2,564.510,287.490
USR-00001356,2025-09-01 00:00:00,2025-09-01 00:00:00,0,0,Bargain,US,Organic Search,2025-06-01 00:00:00,1,1,56.320,56.320,30.650,1,1,1,56.320,30.650
USR-00001383,2025-12-01 00:00:00,2025-12-01 00:00:00,0,0,Regular,UK,Social,2025-09-01 00:00:00,1,1,155.870,155.870,77.820,1,1,1,155.870,77.820
USR-00001387,2025-12-01 00:00:00,2025-12-01 00:00:00,0,0,Regular,US,Organic Search,2025-10-01 00:00:00,1,1,52.530,52.530,20.310,1,1,1,52.530,20.310
USR-00001397,2025-09-01 00:00:00,2025-09-01 00:00:00,0,0,VIP,US,Social,2025-09-01 00:00:00,1,1,178.750,178.750,110.140,1,1,1,178.750,110.140
USR-00001397,2025-09-01 00:00:00,2025-10-01 00:00:00,1,1,VIP,US,Social,2025-09-01 00:00:00,2,2,330.250,330.250,175.170,1,1,3,509.000,285.310
USR-00001429,2025-06-01 00:00:00,2025-06-01 00:00:00,0,0,Regular,US,Email,2025-06-01 00:00:00,1,1,40.620,40.620,16.410,1,1,1,40.620,16.410
USR-00001429,2025-06-01 00:00:00,2025-09-01 00:00:00,3,3,Regular,US,Email,2025-06-01 00:00:00,1,1,633.230,633.230,272.270,1,1,2,673.850,288.680
USR-00001444,2025-07-01 00:00:00,2025-07-01 00:00:00,0,0,Regular,UK,Paid Search,2025-06-01 00:00:00,1,1,36.290,36.290,16.480,1,1,1,36.290,16.480
USR-00001509,2025-04-01 00:00:00,2025-04-01 00:00:00,0,0,VIP,US,Direct,2025-04-01 00:00:00,1,1,284.950,284.950,149.450,1,1,1,284.950,149.450
USR-00001509,2025-04-01 00:00:00,2025-07-01 00:00:00,3,3,VIP,US,Direct,2025-04-01 00:00:00,1,1,218.200,218.200,127.650,1,1,2,503.150,277.100
USR-00001509,2025-04-01 00:00:00,2025-12-01 00:00:00,8,8,VIP,US,Direct,2025-04-01 00:00:00,1,1,77.100,77.100,35.020,1,1,3,580.250,312.120
USR-00001531,2025-09-01 00:00:00,2025-09-01 00:00:00,0,0,Regular,UK,Paid Search,2025-03-01 00:00:00,1,1,205.650,205.650,107.030,1,1,1,205.650,107.030
USR-00001534,2025-11-01 00:00:00,2025-11-01 00:00:00,0,0,Regular,US,Organic Search,2025-02-01 00:00:00,1,1,116.890,116.890,53.320,1,1,1,116.890,53.320
USR-00001547,2025-10-01 00:00:00,2025-10-01 00:00:00,0,0,VIP,US,Referral,2025-09-01 00:00:00,1,1,30.340,30.340,19.150,1,1,1,30.340,19.150
USR-00001547,2025-10-01 00:00:00,2025-11-01 00:00:00,1,1,VIP,US,Referral,2025-09-01 00:00:00,1,1,113.000,113.000,57.710,1,1,2,143.340,76.860
USR-00001547,2025-10-01 00:00:00,2025-12-01 00:00:00,2,2,VIP,US,Referral,2025-09-01 00:00:00,2,2,579.790,579.790,256.460,1,1,4,723.130,333.320
USR-00001557,2025-10-01 00:00:00,2025-10-01 00:00:00,0,0,Regular,US,Paid Search,2025-08-01 00:00:00,1,1,310.660,310.660,127.010,1,1,1,310.660,127.010
USR-00001557,2025-10-01 00:00:00,2025-12-01 00:00:00,2,2,Regular,US,Paid Search,2025-08-01 00:00:00,1,1,259.780,259.780,104.330,1,1,2,570.440,231.340
USR-00001562,2025-06-01 00:00:00,2025-06-01 00:00:00,0,0,VIP,UK,Email,2025-04-01 00:00:00,1,1,378.960,378.960,187.280,1,1,1,378.960,187.280
USR-00001642,2025-11-01 00:00:00,2025-11-01 00:00:00,0,0,VIP,UK,Organic Search,2025-08-01 00:00:00,1,1,206.520,206.520,112.080,1,1,1,206.520,112.080
USR-00001719,2025-09-01 00:00:00,2025-09-01 00:00:00,0,0,Regular,US,Paid Search,2025-08-01 00:00:00,1,1,288.460,288.460,136.790,1,1,1,288.460,136.790
USR-00001719,2025-09-01 00:00:00,2025-11-01 00:00:00,2,2,Regular,US,Paid Search,2025-08-01 00:00:00,1,1,140.710,140.710,51.270,1,1,2,429.170,188.060
USR-00001904,2025-04-01 00:00:00,2025-04-01 00:00:00,0,0,VIP,UK,Direct,2025-02-01 00:00:00,1,1,264.990,264.990,124.770,1,1,1,264.990,124.770
USR-00002081,2025-12-01 00:00:00,2025-12-01 00:00:00,0,0,Regular,FR,Direct,2025-02-01 00:00:00,1,1,24.380,24.380,10.790,1,1,1,24.380,10.790
USR-00002155,2025-04-01 00:00:00,2025-04-01 00:00:00,0,0,Regular,FR,Paid Search,2025-01-01 00:00:00,1,1,220.820,220.820,90.110,1,1,1,220.820,90.110
USR-00002158,2025-10-01 00:00:00,2025-10-01 00:00:00,0,0,VIP,US,Social,2025-10-01 00:00:00,1,1,795.430,795.430,340.670,1,1,1,795.430,340.670
USR-00002201,2025-02-01 00:00:00,2025-02-01 00:00:00,0,0,Regular,UK,Organic Search,2025-01-01 00:00:00,1,1,92.000,92.000,51.260,1,1,1,92.000,51.260
USR-00002201,2025-02-01 00:00:00,2025-12-01 00:00:00,10,10,Regular,UK,Organic Search,2025-01-01 00:00:00,1,1,163.990,163.990,83.280,1,1,2,255.990,134.540
USR-00002284,2025-11-01 00:00:00,2025-11-01 00:00:00,0,0,VIP,CA,Direct,2025-09-01 00:00:00,1,1,194.840,194.840,83.420,1,1,1,194.840,83.420
