order_item_id,order_id,product_id,quantity,unit_price,unit_cost,line_total,total_item_price,line_profit
ITM-000000001,ORD-00000001,PRD-00036,1,73.99,30.02,73.99,73.99,43.97
ITM-000000002,ORD-00000002,PRD-00064,2,24.99,6.91,49.98,49.98,36.16
ITM-000000003,ORD-00000003,PRD-00059,1,47.49,23.54,47.49,47.49,23.95
ITM-000000004,ORD-00000004,PRD-00094,1,245.99,110.0,245.99,245.99,135.99
ITM-000000005,ORD-00000005,PRD-00023,1,31.99,14.2,31.99,31.99,17.79
ITM-000000006,ORD-00000006,PRD-00090,2,232.99,113.86,465.98,465.98,238.26
ITM-000000007,ORD-00000006,PRD-00006,2,391.99,223.93,783.98,783.98,336.12
ITM-000000008,ORD-00000007,PRD-00060,1,176.49,84.75,176.49,176.49,91.74
ITM-000000009,ORD-00000008,PRD-00017,1,244.99,144.79,244.99,244.99,100.2
ITM-000000010,ORD-00000008,PRD-00007,1,316.99,172.8,316.99,316.99,144.19
ITM-000000011,ORD-00000009,PRD-00085,1,105.99,56.37,105.99,105.99,49.62
ITM-000000012,ORD-00000010,PRD-00090,1,232.99,113.86,232.99,232.99,119.13
ITM-000000013,ORD-00000011,PRD-00070,1,64.99,25.31,64.99,64.99,39.68
ITM-000000014,ORD-00000012,PRD-00050,1,173.99,93.04,173.99,173.99,80.95
ITM-000000015,ORD-00000013,PRD-00059,1,47.49,23.54,47.49,47.49,23.95
ITM-000000016,ORD-00000014,PRD-00076,1,62.99,25.51,62.99,62.99,37.48
ITM-000000017,ORD-00000015,PRD-00037,1,41.99,15.18,41.99,41.99,26.81
ITM-000000018,ORD-00000016,PRD-00093,2,227.99,111.71,455.98,455.98,232.56
ITM-000000019,ORD-00000016,PRD-00050,1,173.99,93.04,173.99,173.99,80.95
ITM-000000020,ORD-00000017,PRD-00070,1,64.99,25.31,64.99,64.99,39.68
ITM-000000021,ORD-00000018,PRD-00051,1,52.99,21.94,52.99,52.99,31.05
ITM-000000022,ORD-00000019,PRD-00090,1,232.99,113.86,232.99,232.99,119.13
ITM-000000023,ORD-00000020,PRD-00018,1,72.99,37.97,72.99,72.99,35.02
ITM-000000024,ORD-00000021,PRD-00026,1,94.99,41.91,94.99,94.99,53.08
ITM-000000025,ORD-00000022,PRD-00073,1,84.49,28.1,84.49,84.49,56.39
ITM-000000026,ORD-00000022,PRD-00055,1,74.99,31.61,74.99,74.99,43.38
ITM-000000027,ORD-00000023,PRD-00005,2,82.99,47.75,165.98,165.98,70.48
ITM-000000028,ORD-00000023,PRD-00012,3,374.49,207.75,1123.47,1123.47,500.22
ITM-000000029,ORD-00000024,PRD-00019,3,339.99,208.97,1019.97,1019.97,393.06
ITM-000000030,ORD-00000025,PRD-00001,1,320.99,176.63,320.99,320.99,144.36
ITM-000000031,ORD-00000025,PRD-00038,1,77.49,36.23,77.49,77.49,41.26
ITM-000000032,ORD-00000026,PRD-00080,1,87.99,32.75,87.99,87.99,55.24
ITM-000000033,ORD-00000027,PRD-00080,1,87.99,32.75,87.99,87.99,55.24
ITM-000000034,ORD-00000027,PRD-00079,2,46.49,15.84,92.98,92.98,61.3
ITM-000000035,ORD-00000028,PRD-00074,1,16.99,6.2,16.99,16.99,10.79
ITM-000000036,ORD-00000029,PRD-00051,2,52.99,21.94,105.98,105.98,62.1
ITM-000000037,ORD-00000030,PRD-00071,1,86.99,31.3,86.99,86.99,55.69
ITM-000000038,ORD-00000031,PRD-00017,1,244.99,144.79,244.99,244.99,100.2
ITM-000000039,ORD-00000032,PRD-00068,1,37.49,12.61,37.49,37.49,24.88
ITM-000000040,ORD-00000033,PRD-00089,3,31.99,18.14,95.97,95.97,41.55
ITM-000000041,ORD-00000034,PRD-00060,1,176.49,84.75,176.49,176.49,91.74
ITM-000000042,ORD-00000035,PRD-00066,2,84.99,33.73,169.98,169.98,102.52
ITM-000000043,ORD-00000036,PRD-00059,1,47.49,23.54,47.49,47.49,23.95
ITM-000000044,ORD-00000036,PRD-00071,1,86.99,31.3,86.99,86.99,55.69
ITM-000000045,ORD-00000036,PRD-00057,1,146.49,75.56,146.49,146.49,70.93
ITM-000000046,ORD-00000037,PRD-00068,1,37.49,12.61,37.49,37.49,24.88
ITM-000000047,ORD-00000037,PRD-00015,1,205.99,123.35,205.99,205.99,82.64
ITM-000000048,ORD-00000037,PRD-00046,1,113.49,52.53,113.49,113.49,60.96
ITM-000000049,ORD-00000038,PRD-00009,1,94.99,52.51,94.99,94.99,42.48
ITM-000000050,ORD-00000039,PRD-00038,1,77.49,36.23,77.49,77.49,41.26
ITM-000000051,ORD-00000040,PRD-00079,2,46.49,15.84,92.98,92.98,61.3
ITM-000000052,ORD-00000041,PRD-00016,1,129.99,78.72,129.99,129.99,51.27
ITM-000000053,ORD-00000042,PRD-00007,2,316.99,172.8,633.98,633.98,288.38
ITM-000000054,ORD-00000043,PRD-00025,1,55.99,23.35,55.99,55.99,32.64
ITM-000000055,ORD-00000044,PRD-00002,1,203.99,113.88,203.99,203.99,90.11
ITM-000000056,ORD-00000044,PRD-00020,3,271.99,147.22,815.97,815.97,374.31
ITM-000000057,ORD-00000044,PRD-00054,1,137.99,68.35,137.99,137.99,69.64
ITM-000000058,ORD-00000045,PRD-00062,1,68.49,27.5,68.49,68.49,40.99
ITM-000000059,ORD-00000046,PRD-00091,1,42.99,22.68,42.99,42.99,20.31
ITM-000000060,ORD-00000047,PRD-00034,1,34.99,12.79,34.99,34.99,22.2
ITM-000000061,ORD-00000048,PRD-00023,1,31.99,14.2,31.99,31.99,17.79
ITM-000000062,ORD-00000049,PRD-00088,1,211.99,101.84,211.99,211.99,110.15
ITM-000000063,ORD-00000049,PRD-00020,3,271.99,147.22,815.97,815.97,374.31
ITM-000000064,ORD-00000050,PRD-00051,1,52.99,21.94,52.99,52.99,31.05
ITM-000000065,ORD-00000051,PRD-00094,2,245.99,110.0,491.98,491.98,271.98
ITM-000000066,ORD-00000052,PRD-00055,1,74.99,31.61,74.99,74.99,43.38
ITM-000000067,ORD-00000052,PRD-00063,2,70.49,27.76,140.98,140.98,85.46
ITM-000000068,ORD-00000053,PRD-00074,1,16.99,6.2,16.99,16.99,10.79
ITM-000000069,ORD-00000053,PRD-00009,1,94.99,52.51,94.99,94.99,42.48
ITM-000000070,ORD-00000053,PRD-00012,1,374.49,207.75,374.49,374.49,166.74
ITM-000000071,ORD-00000054,PRD-00064,1,24.99,6.91,24.99,24.99,18.08
ITM-000000072,ORD-00000054,PRD-00094,1,245.99,110.0,245.99,245.99,135.99
ITM-000000073,ORD-00000054,PRD-00043,2,105.99,49.95,211.98,211.98,112.08
