order_id,session_id,user_id,order_date,order_timestamp,subtotal,tax_amount,shipping_fee,discount_amount,total_amount,payment_method,status,ab_variant
ORD-00000001,SES-000000038,USR-00013292,2025-01-01,2025-01-01 10:21:18.333673154,73.99,5.49,5.99,7.4,78.07,Credit Card,completed,control
ORD-00000002,SES-000000098,USR-00019078,2025-01-02,2025-01-02 02:32:01.286394568,49.98,4.12,5.99,0.0,60.09,Apple Pay,completed,treatment
ORD-00000003,SES-000000167,USR-00022184,2025-01-02,2025-01-02 16:46:22.782467751,47.49,3.92,5.99,0.0,57.4,Apple Pay,completed,treatment
ORD-00000004,SES-000000174,USR-00000138,2025-01-02,2025-01-02 17:53:12.779930169,245.99,18.26,0.0,24.6,239.65,Apple Pay,completed,control
ORD-00000005,SES-000000207,USR-00004172,2025-01-03,2025-01-03 01:29:53.625354883,31.99,2.64,5.99,0.0,40.62,Apple Pay,completed,treatment
ORD-00000006,SES-000000299,USR-00025999,2025-01-04,2025-01-04 02:57:22.320825246,1249.96,103.12,0.0,0.0,1353.08,Credit Card,completed,control
ORD-00000007,SES-000000302,USR-00012299,2025-01-04,2025-01-04 03:27:26.430910017,176.49,14.56,0.0,0.0,191.05,Apple Pay,completed,treatment
ORD-00000008,SES-000000364,USR-00001733,2025-01-04,2025-01-04 18:52:59.247094222,561.98,41.73,0.0,56.2,547.51,Klarna,completed,control
ORD-00000009,SES-000000408,USR-00016571,2025-01-05,2025-01-05 05:41:03.545053963,105.99,8.74,0.0,0.0,114.73,Credit Card,completed,treatment
ORD-00000010,SES-000000412,USR-00017878,2025-01-05,2025-01-05 06:55:43.077438727,232.99,17.3,0.0,23.3,226.99,PayPal,completed,treatment
ORD-00000011,SES-000000427,USR-00000412,2025-01-05,2025-01-05 11:01:15.193521463,64.99,5.36,5.99,0.0,76.34,Credit Card,completed,control
ORD-00000012,SES-000000435,USR-00007726,2025-01-05,2025-01-05 12:43:18.751221309,173.99,14.35,0.0,0.0,188.34,PayPal,completed,treatment
ORD-00000013,SES-000000455,USR-00012749,2025-01-05,2025-01-05 17:53:28.830871218,47.49,3.92,5.99,0.0,57.4,Credit Card,completed,treatment
ORD-00000014,SES-000000595,USR-00008088,2025-01-07,2025-01-07 05:22:01.429735016,62.99,5.2,5.99,0.0,74.18,PayPal,completed,treatment
ORD-00000015,SES-000000634,USR-00007778,2025-01-07,2025-01-07 16:19:25.693204162,41.99,3.12,5.99,4.2,46.9,Credit Card,completed,control
ORD-00000016,SES-000000642,USR-00017375,2025-01-07,2025-01-07 17:30:49.611809006,629.97,51.97,0.0,0.0,681.94,Credit Card,completed,treatment
ORD-00000017,SES-000000661,USR-00028358,2025-01-07,2025-01-07 23:56:04.500753754,64.99,5.36,5.99,0.0,76.34,PayPal,completed,control
ORD-00000018,SES-000000677,USR-00025939,2025-01-08,2025-01-08 03:32:02.064251302,52.99,4.37,5.99,0.0,63.35,Credit Card,completed,treatment
ORD-00000019,SES-000000688,USR-00016427,2025-01-08,2025-01-08 06:05:16.784100176,232.99,19.22,0.0,0.0,252.21,Credit Card,completed,treatment
ORD-00000020,SES-000000791,USR-00005392,2025-01-09,2025-01-09 04:41:31.444369491,72.99,6.02,5.99,0.0,85.0,Apple Pay,completed,control
ORD-00000021,SES-000000792,USR-00029219,2025-01-09,2025-01-09 04:49:33.882141993,94.99,7.05,0.0,9.5,92.54,Credit Card,completed,control
ORD-00000022,SES-000000861,USR-00018631,2025-01-09,2025-01-09 21:44:10.065840302,159.48,11.84,0.0,15.95,155.37,Credit Card,completed,treatment
ORD-00000023,SES-000000865,USR-00003933,2025-01-09,2025-01-09 22:37:25.261372755,1289.45,95.74,0.0,128.95,1256.24,Credit Card,completed,treatment
ORD-00000024,SES-000000868,USR-00000700,2025-01-09,2025-01-09 23:38:44.079447869,1019.97,75.73,0.0,102.0,993.7,Credit Card,completed,control
ORD-00000025,SES-000000881,USR-00015415,2025-01-10,2025-01-10 03:53:13.026324350,398.48,32.87,0.0,0.0,431.35,PayPal,completed,treatment
ORD-00000026,SES-000000903,USR-00028161,2025-01-10,2025-01-10 10:30:44.308744925,87.99,6.53,0.0,8.8,85.72,Klarna,completed,control
ORD-00000027,SES-000000948,USR-00006200,2025-01-10,2025-01-10 20:56:07.309805911,180.97,14.93,0.0,0.0,195.9,PayPal,completed,treatment
ORD-00000028,SES-000001031,USR-00005578,2025-01-11,2025-01-11 20:43:41.896546227,16.99,1.4,5.99,0.0,24.38,Apple Pay,completed,control
ORD-00000029,SES-000001112,USR-00025083,2025-01-12,2025-01-12 12:43:07.723262355,105.98,8.31,0.0,5.3,108.99,Credit Card,completed,control
ORD-00000030,SES-000001140,USR-00014408,2025-01-12,2025-01-12 18:02:54.120336533,86.99,7.18,0.0,0.0,94.17,Credit Card,completed,control
ORD-00000031,SES-000001225,USR-00016135,2025-01-13,2025-01-13 12:15:13.951336036,244.99,20.21,0.0,0.0,265.2,Credit Card,completed,control
ORD-00000032,SES-000001242,USR-00009104,2025-01-13,2025-01-13 16:08:18.251788304,37.49,2.78,5.99,3.75,42.51,Credit Card,completed,control
ORD-00000033,SES-000001252,USR-00016357,2025-01-13,2025-01-13 19:33:10.477945132,95.97,7.92,0.0,0.0,103.89,Credit Card,completed,control
ORD-00000034,SES-000001259,USR-00018631,2025-01-13,2025-01-13 21:13:18.275509722,176.49,13.1,0.0,17.65,171.94,Klarna,completed,control
ORD-00000035,SES-000001271,USR-00014582,2025-01-14,2025-01-14 00:21:22.930915272,169.98,13.32,0.0,8.5,174.8,Credit Card,completed,control
ORD-00000036,SES-000001289,USR-00010368,2025-01-14,2025-01-14 03:40:05.733241208,280.97,23.18,0.0,0.0,304.15,Credit Card,completed,treatment
ORD-00000037,SES-000001304,USR-00007361,2025-01-14,2025-01-14 08:55:09.659226865,356.97,26.5,0.0,35.7,347.77,Credit Card,completed,control
ORD-00000038,SES-000001384,USR-00015796,2025-01-15,2025-01-15 04:10:33.015684229,94.99,7.05,0.0,9.5,92.54,Credit Card,completed,control
ORD-00000039,SES-000001391,USR-00000079,2025-01-15,2025-01-15 05:48:16.151550312,77.49,6.39,0.0,0.0,83.88,PayPal,completed,treatment
ORD-00000040,SES-000001406,USR-00004064,2025-01-15,2025-01-15 09:26:09.704400150,92.98,7.67,0.0,0.0,100.65,Apple Pay,completed,control
ORD-00000041,SES-000001422,USR-00010650,2025-01-15,2025-01-15 12:17:08.048657044,129.99,9.65,0.0,13.0,126.64,Credit Card,completed,treatment
ORD-00000042,SES-000001430,USR-00017624,2025-01-15,2025-01-15 14:33:54.002082072,633.98,52.3,0.0,0.0,686.28,PayPal,completed,control
ORD-00000043,SES-000001431,USR-00008354,2025-01-15,2025-01-15 14:42:55.133892939,55.99,4.16,5.99,5.6,60.54,PayPal,completed,control
ORD-00000044,SES-000001450,USR-00004682,2025-01-15,2025-01-15 18:32:52.074975956,1157.95,95.53,0.0,0.0,1253.48,PayPal,completed,treatment
ORD-00000045,SES-000001478,USR-00025780,2025-01-15,2025-01-15 23:27:04.167943904,68.49,5.65,5.99,0.0,80.13,Credit Card,completed,treatment
ORD-00000046,SES-000001524,USR-00026854,2025-01-16,2025-01-16 11:48:45.536114407,42.99,3.37,5.99,2.15,50.2,Credit Card,completed,treatment
ORD-00000047,SES-000001548,USR-00017718,2025-01-16,2025-01-16 17:22:38.743356255,34.99,2.89,5.99,0.0,43.87,PayPal,completed,treatment
ORD-00000048,SES-000001618,USR-00004039,2025-01-17,2025-01-17 10:08:40.555482861,31.99,2.38,5.99,3.2,37.16,Credit Card,completed,treatment
ORD-00000049,SES-000001654,USR-00003076,2025-01-17,2025-01-17 16:56:17.205330630,1027.96,76.33,0.0,102.8,1001.49,Credit Card,completed,treatment
ORD-00000050,SES-000001658,USR-00024815,2025-01-17,2025-01-17 17:53:46.562049010,52.99,4.37,5.99,0.0,63.35,Apple Pay,completed,control
ORD-00000051,SES-000001713,USR-00005991,2025-01-18,2025-01-18 06:56:19.813698940,491.98,40.59,0.0,0.0,532.57,Credit Card,completed,control
ORD-00000052,SES-000001722,USR-00005490,2025-01-18,2025-01-18 08:54:34.068795936,215.97,16.93,0.0,10.8,222.1,Credit Card,completed,treatment
ORD-00000053,SES-000001749,USR-00003088,2025-01-18,2025-01-18 14:46:53.879839955,486.47,40.13,0.0,0.0,526.6,Klarna,completed,treatment
ORD-00000054,SES-000001839,USR-00028391,2025-01-19,2025-01-19 10:42:54.872094048,482.96,35.86,0.0,48.3,470.52,Apple Pay,completed,control
ORD-00000055,SES-000001852,USR-00012205,2025-01-19,2025-01-19 13:32:36.583728803,68.49,5.65,5.99,0.0,80.13,Credit Card,completed,control
