session_id,user_id,session_start,session_end,device_type,country,traffic_source,channel,is_bounce,is_returning_user,is_new_user,ab_variant,experiment_id
SES-000000001,USR-00004370,2025-01-01 00:01:38,2025-01-01 00:02:02.249939870,Desktop,DE,Direct,Direct,True,False,True,control,exp_checkout_streamline_v1
SES-000000002,USR-00019703,2025-01-01 00:15:38,2025-01-01 00:15:57.391701341,Mobile,CA,Organic Search,Organic Search,True,False,True,treatment,exp_checkout_streamline_v1
SES-000000003,USR-00026946,2025-01-01 00:42:48,2025-01-01 00:42:53.814601449,Mobile,US,Organic Search,Organic Search,True,False,True,control,exp_checkout_streamline_v1
SES-000000004,USR-00024245,2025-01-01 01:01:45,2025-01-01 01:02:17.435366006,Desktop,DE,Social,Social,True,False,True,control,exp_checkout_streamline_v1
SES-000000005,USR-00025667,2025-01-01 01:42:44,2025-01-01 01:42:53.707370833,Mobile,US,Paid Search,Paid Search,True,False,True,control,exp_checkout_streamline_v1
SES-000000006,USR-00028804,2025-01-01 02:05:48,2025-01-01 02:06:26.782298260,Mobile,DE,Referral,Referral,False,False,True,treatment,exp_checkout_streamline_v1
SES-000000007,USR-00023083,2025-01-01 02:29:03,2025-01-01 02:29:28.307217281,Mobile,US,Paid Search,Paid Search,True,False,True,control,exp_checkout_streamline_v1
SES-000000008,USR-00010243,2025-01-01 02:32:04,2025-01-01 02:32:21.350421571,Desktop,FR,Social,Social,True,False,True,control,exp_checkout_streamline_v1
SES-000000009,USR-00019318,2025-01-01 02:43:07,2025-01-01 02:43:23.780587328,Mobile,UK,Email,Email,True,False,True,treatment,exp_checkout_streamline_v1
SES-000000010,USR-00017961,2025-01-01 03:08:54,2025-01-01 03:09:31.754835436,Mobile,UK,Organic Search,Organic Search,False,False,True,treatment,exp_checkout_streamline_v1
SES-000000011,USR-00007565,2025-01-01 03:17:17,2025-01-01 03:18:43.541190229,Desktop,US,Email,Email,False,False,True,control,exp_checkout_streamline_v1
SES-000000012,USR-00011516,2025-01-01 03:18:04,2025-01-01 03:18:54.142788803,Mobile,CA,Organic Search,Organic Search,False,False,True,control,exp_checkout_streamline_v1
SES-000000013,USR-00019657,2025-01-01 03:47:25,2025-01-01 03:47:46.573675162,Mobile,US,Organic Search,Organic Search,True,False,True,control,exp_checkout_streamline_v1
SES-000000014,USR-00019498,2025-01-01 03:49:58,2025-01-01 03:51:11.750478391,Mobile,US,Paid Search,Paid Search,False,False,True,control,exp_checkout_streamline_v1
SES-000000015,USR-00001606,2025-01-01 04:18:53,2025-01-01 04:19:18.950669799,Desktop,CA,Paid Search,Paid Search,False,False,True,treatment,exp_checkout_streamline_v1
SES-000000016,USR-00019001,2025-01-01 04:42:22,2025-01-01 04:43:03.565393138,Tablet,US,Email,Email,False,False,True,control,exp_checkout_streamline_v1
SES-000000017,USR-00002963,2025-01-01 04:47:07,2025-01-01 04:47:21.893094750,Tablet,US,Social,Social,True,False,True,treatment,exp_checkout_streamline_v1
SES-000000018,USR-00025769,2025-01-01 04:47:43,2025-01-01 04:47:51.451468120,Mobile,UK,Organic Search,Organic Search,True,False,True,control,exp_checkout_streamline_v1
SES-000000019,USR-00006289,2025-01-01 05:09:52,2025-01-01 05:10:20.576886814,Mobile,US,Social,Social,True,False,True,treatment,exp_checkout_streamline_v1
SES-000000020,USR-00029695,2025-01-01 05:19:35,2025-01-01 05:20:06.341689931,Tablet,US,Paid Search,Paid Search,True,False,True,control,exp_checkout_streamline_v1
SES-000000021,USR-00027243,2025-01-01 05:26:55,2025-01-01 05:27:21.282780881,Desktop,US,Direct,Direct,False,False,True,control,exp_checkout_streamline_v1
SES-000000022,USR-00021261,2025-01-01 05:43:49,2025-01-01 05:44:20.705385025,Desktop,AU,Social,Social,True,False,True,treatment,exp_checkout_streamline_v1
SES-000000023,USR-00018330,2025-01-01 05:57:23,2025-01-01 05:57:47.026090129,Desktop,AU,Email,Email,True,False,True,control,exp_checkout_streamline_v1
SES-000000024,USR-00005587,2025-01-01 06:34:25,2025-01-01 06:34:44.861510148,Mobile,US,Paid Search,Paid Search,True,False,True,control,exp_checkout_streamline_v1
SES-000000025,USR-00008565,2025-01-01 07:30:49,2025-01-01 07:31:30.774862894,Desktop,CA,Referral,Referral,False,False,True,treatment,exp_checkout_streamline_v1
SES-000000026,USR-00019596,2025-01-01 07:42:36,2025-01-01 07:42:56.114952741,Mobile,UK,Social,Social,True,False,True,control,exp_checkout_streamline_v1
SES-000000027,USR-00013336,2025-01-01 07:43:23,2025-01-01 07:43:55.303579592,Mobile,US,Email,Email,False,False,True,control,exp_checkout_streamline_v1
SES-000000028,USR-00006189,2025-01-01 08:02:16,2025-01-01 08:02:34.881232234,Mobile,US,Paid Search,Paid Search,True,False,True,control,exp_checkout_streamline_v1
SES-000000029,USR-00005045,2025-01-01 08:05:05,2025-01-01 08:06:32.423559834,Desktop,DE,Paid Search,Paid Search,False,False,True,control,exp_checkout_streamline_v1
SES-000000030,USR-00020621,2025-01-01 08:09:55,2025-01-01 08:10:21.234691985,Mobile,US,Organic Search,Organic Search,True,False,True,treatment,exp_checkout_streamline_v1
