user_id,created_at,country,acquisition_channel,customer_segment,device_preference
USR-00004370,2025-01-01 00:00:24,DE,Direct,Bargain,Desktop
USR-00019703,2025-01-01 00:06:04,CA,Organic Search,Bargain,Tablet
USR-00026946,2025-01-01 00:19:47,US,Organic Search,Regular,Mobile
USR-00024245,2025-01-01 00:57:36,DE,Social,VIP,Desktop
USR-00025667,2025-01-01 01:31:14,US,Paid Search,Bargain,Desktop
USR-00028804,2025-01-01 02:00:51,DE,Referral,VIP,Mobile
USR-00023083,2025-01-01 02:04:22,US,Paid Search,Regular,Mobile
USR-00010243,2025-01-01 02:25:01,FR,Social,Regular,Desktop
USR-00019318,2025-01-01 02:29:36,UK,Email,Regular,Mobile
USR-00017961,2025-01-01 02:58:42,UK,Organic Search,Regular,Mobile
USR-00007565,2025-01-01 03:11:27,US,Email,Regular,Desktop
USR-00011516,2025-01-01 03:12:18,CA,Organic Search,VIP,Mobile
USR-00019657,2025-01-01 03:27:20,US,Organic Search,Bargain,Mobile
USR-00019498,2025-01-01 03:45:05,US,Paid Search,Bargain,Mobile
USR-00001606,2025-01-01 03:59:16,CA,Paid Search,Regular,Desktop
USR-00002963,2025-01-01 04:22:03,US,Social,Bargain,Tablet
USR-00019001,2025-01-01 04:23:24,US,Email,Bargain,Mobile
USR-00025769,2025-01-01 04:28:23,UK,Organic Search,Regular,Mobile
USR-00006289,2025-01-01 04:56:16,US,Social,Regular,Mobile
USR-00027243,2025-01-01 05:18:21,US,Direct,Regular,Desktop
USR-00029695,2025-01-01 05:18:50,US,Paid Search,VIP,Mobile
USR-00021261,2025-01-01 05:26:55,AU,Social,Bargain,Desktop
USR-00018330,2025-01-01 05:33:53,AU,Email,Regular,Desktop
USR-00005587,2025-01-01 06:20:21,US,Paid Search,Regular,Mobile
USR-00008565,2025-01-01 07:07:10,CA,Referral,Bargain,Mobile
USR-00013336,2025-01-01 07:20:39,US,Email,Regular,Mobile
USR-00019596,2025-01-01 07:29:50,UK,Social,Bargain,Mobile
USR-00005045,2025-01-01 07:36:38,DE,Paid Search,VIP,Desktop
USR-00006189,2025-01-01 07:37:47,US,Paid Search,Regular,Mobile
